window_size=16, lr=0.0005, hidden_size=64, dropout=0.2, MSE=82.2721
window_size=4, lr=0.0005, hidden_size=64, dropout=0.2, MSE=87.0146
window_size=16, lr=0.0005, hidden_size=256, dropout=0.4, MSE=194.8531
window_size=16, lr=0.0005, hidden_size=256, dropout=0.3, MSE=285.2165
window_size=8, lr=0.0005, hidden_size=256, dropout=0.4, MSE=350.3215
window_size=8, lr=0.0005, hidden_size=128, dropout=0.2, MSE=381.1405
window_size=4, lr=0.0005, hidden_size=128, dropout=0.3, MSE=470.7908
window_size=4, lr=0.0005, hidden_size=256, dropout=0.4, MSE=488.7347
window_size=4, lr=0.0005, hidden_size=64, dropout=0.4, MSE=491.1942
window_size=8, lr=0.0005, hidden_size=256, dropout=0.2, MSE=531.9033
window_size=16, lr=0.0005, hidden_size=64, dropout=0.3, MSE=561.8895
window_size=16, lr=0.0005, hidden_size=128, dropout=0.2, MSE=603.8044
window_size=8, lr=0.0005, hidden_size=64, dropout=0.4, MSE=636.2176
window_size=8, lr=0.0005, hidden_size=64, dropout=0.2, MSE=659.3766
window_size=8, lr=0.0001, hidden_size=256, dropout=0.3, MSE=847.5698
window_size=8, lr=0.0001, hidden_size=256, dropout=0.2, MSE=981.1611
window_size=16, lr=0.0005, hidden_size=256, dropout=0.2, MSE=981.2987
window_size=4, lr=0.001, hidden_size=64, dropout=0.2, MSE=1017.9698
window_size=16, lr=0.0005, hidden_size=64, dropout=0.4, MSE=1081.1591
window_size=4, lr=0.0001, hidden_size=256, dropout=0.3, MSE=1129.3131
window_size=8, lr=0.0005, hidden_size=128, dropout=0.3, MSE=1140.5926
window_size=4, lr=0.0001, hidden_size=256, dropout=0.2, MSE=1236.0355
window_size=4, lr=0.0005, hidden_size=128, dropout=0.2, MSE=1277.5563
window_size=16, lr=0.0005, hidden_size=128, dropout=0.4, MSE=1292.3458
window_size=8, lr=0.0005, hidden_size=64, dropout=0.3, MSE=1369.2606
window_size=8, lr=0.0001, hidden_size=128, dropout=0.2, MSE=1426.9020
window_size=8, lr=0.0001, hidden_size=128, dropout=0.3, MSE=1537.2680
window_size=4, lr=0.0001, hidden_size=256, dropout=0.4, MSE=1589.9602
window_size=8, lr=0.0001, hidden_size=256, dropout=0.4, MSE=1614.5664
window_size=16, lr=0.0001, hidden_size=256, dropout=0.3, MSE=1644.6893
window_size=8, lr=0.001, hidden_size=64, dropout=0.3, MSE=1683.2121
window_size=4, lr=0.0005, hidden_size=128, dropout=0.4, MSE=1741.8928
window_size=4, lr=0.0005, hidden_size=256, dropout=0.2, MSE=1773.3717
window_size=4, lr=0.0001, hidden_size=128, dropout=0.3, MSE=2060.2083
window_size=4, lr=0.0001, hidden_size=128, dropout=0.4, MSE=2086.6636
window_size=16, lr=0.0001, hidden_size=256, dropout=0.4, MSE=2196.7506
window_size=16, lr=0.001, hidden_size=64, dropout=0.4, MSE=2233.7031
window_size=4, lr=0.0005, hidden_size=256, dropout=0.3, MSE=2259.1961
window_size=4, lr=0.001, hidden_size=128, dropout=0.3, MSE=2270.7818
window_size=8, lr=0.0001, hidden_size=128, dropout=0.4, MSE=2278.4265
window_size=8, lr=0.001, hidden_size=128, dropout=0.3, MSE=2456.0169
window_size=4, lr=0.0001, hidden_size=128, dropout=0.2, MSE=2559.3237
window_size=8, lr=0.001, hidden_size=64, dropout=0.4, MSE=2653.8431
window_size=8, lr=0.0005, hidden_size=128, dropout=0.4, MSE=2754.3677
window_size=4, lr=0.001, hidden_size=256, dropout=0.2, MSE=2757.2795
window_size=4, lr=0.0005, hidden_size=64, dropout=0.3, MSE=2846.0318
window_size=16, lr=0.0001, hidden_size=128, dropout=0.2, MSE=2870.9750
window_size=16, lr=0.0001, hidden_size=256, dropout=0.2, MSE=2886.0744
window_size=16, lr=0.001, hidden_size=128, dropout=0.3, MSE=2902.6991
window_size=4, lr=0.001, hidden_size=64, dropout=0.4, MSE=2938.8993
window_size=4, lr=0.001, hidden_size=256, dropout=0.4, MSE=2979.9588
window_size=8, lr=0.001, hidden_size=128, dropout=0.4, MSE=3254.8543
window_size=4, lr=0.001, hidden_size=256, dropout=0.3, MSE=3692.3643
window_size=16, lr=0.001, hidden_size=128, dropout=0.4, MSE=3828.2463
window_size=16, lr=0.001, hidden_size=64, dropout=0.3, MSE=3883.4867
window_size=8, lr=0.0005, hidden_size=256, dropout=0.3, MSE=4032.1896
window_size=4, lr=0.001, hidden_size=128, dropout=0.2, MSE=4324.4942
window_size=16, lr=0.001, hidden_size=256, dropout=0.3, MSE=4348.8558
window_size=16, lr=0.0001, hidden_size=128, dropout=0.3, MSE=4367.7890
window_size=16, lr=0.001, hidden_size=64, dropout=0.2, MSE=4506.6865
window_size=8, lr=0.001, hidden_size=256, dropout=0.4, MSE=4685.1024
window_size=16, lr=0.0001, hidden_size=128, dropout=0.4, MSE=5149.7086
window_size=8, lr=0.001, hidden_size=128, dropout=0.2, MSE=5240.0641
window_size=4, lr=0.001, hidden_size=128, dropout=0.4, MSE=5450.6052
window_size=4, lr=0.001, hidden_size=64, dropout=0.3, MSE=5577.1309
window_size=8, lr=0.001, hidden_size=64, dropout=0.2, MSE=6616.5179
window_size=16, lr=0.0005, hidden_size=128, dropout=0.3, MSE=6853.1459
window_size=16, lr=0.001, hidden_size=128, dropout=0.2, MSE=7641.0204
window_size=4, lr=0.0001, hidden_size=64, dropout=0.4, MSE=7705.4370
window_size=4, lr=0.0001, hidden_size=64, dropout=0.2, MSE=8023.8250
window_size=4, lr=0.0001, hidden_size=64, dropout=0.3, MSE=8819.2618
window_size=8, lr=0.0001, hidden_size=64, dropout=0.2, MSE=10864.5085
window_size=8, lr=0.0001, hidden_size=64, dropout=0.3, MSE=10964.0020
window_size=8, lr=0.0001, hidden_size=64, dropout=0.4, MSE=12309.7266
window_size=16, lr=0.0001, hidden_size=64, dropout=0.2, MSE=12493.8621
