window_size=16, lr=0.0001, hidden_size=128, dropout=0.2, MSE=252.9571
window_size=16, lr=0.0001, hidden_size=256, dropout=0.3, MSE=462.6205
window_size=4, lr=0.0001, hidden_size=128, dropout=0.4, MSE=465.7491
window_size=4, lr=0.0001, hidden_size=64, dropout=0.4, MSE=491.3067
window_size=16, lr=0.0001, hidden_size=128, dropout=0.3, MSE=496.0531
window_size=4, lr=0.0001, hidden_size=64, dropout=0.3, MSE=532.3660
window_size=16, lr=0.0001, hidden_size=64, dropout=0.4, MSE=606.4662
window_size=16, lr=0.0001, hidden_size=64, dropout=0.2, MSE=648.7188
window_size=16, lr=0.0001, hidden_size=256, dropout=0.2, MSE=648.9918
window_size=8, lr=0.0001, hidden_size=64, dropout=0.3, MSE=657.9582
window_size=4, lr=0.0001, hidden_size=128, dropout=0.2, MSE=664.9477
window_size=16, lr=0.0001, hidden_size=64, dropout=0.3, MSE=690.2752
window_size=8, lr=0.0001, hidden_size=128, dropout=0.3, MSE=709.8403
window_size=16, lr=0.0001, hidden_size=128, dropout=0.4, MSE=710.5524
window_size=4, lr=0.0001, hidden_size=64, dropout=0.2, MSE=743.4976
window_size=8, lr=0.0001, hidden_size=256, dropout=0.4, MSE=781.2747
window_size=8, lr=0.0001, hidden_size=256, dropout=0.3, MSE=816.6960
window_size=4, lr=0.0001, hidden_size=128, dropout=0.3, MSE=817.6851
window_size=8, lr=0.0005, hidden_size=128, dropout=0.4, MSE=818.6825
window_size=4, lr=0.0005, hidden_size=128, dropout=0.4, MSE=831.9094
window_size=8, lr=0.0001, hidden_size=64, dropout=0.4, MSE=880.8861
window_size=8, lr=0.001, hidden_size=128, dropout=0.4, MSE=894.5561
window_size=4, lr=0.0005, hidden_size=128, dropout=0.3, MSE=917.6917
window_size=8, lr=0.0001, hidden_size=128, dropout=0.2, MSE=930.6919
window_size=16, lr=0.0005, hidden_size=128, dropout=0.3, MSE=955.1123
window_size=8, lr=0.0001, hidden_size=64, dropout=0.2, MSE=1028.1500
window_size=8, lr=0.0005, hidden_size=256, dropout=0.2, MSE=1034.9511
window_size=16, lr=0.0001, hidden_size=256, dropout=0.4, MSE=1046.6777
window_size=8, lr=0.0005, hidden_size=256, dropout=0.4, MSE=1153.9676
window_size=16, lr=0.0005, hidden_size=256, dropout=0.3, MSE=1154.7223
window_size=8, lr=0.0001, hidden_size=256, dropout=0.2, MSE=1160.2092
window_size=4, lr=0.0001, hidden_size=256, dropout=0.2, MSE=1182.3904
window_size=8, lr=0.001, hidden_size=256, dropout=0.4, MSE=1320.1401
window_size=4, lr=0.0001, hidden_size=256, dropout=0.4, MSE=1358.5101
window_size=4, lr=0.0001, hidden_size=256, dropout=0.3, MSE=1399.3314
window_size=8, lr=0.001, hidden_size=256, dropout=0.2, MSE=1413.8722
window_size=16, lr=0.0005, hidden_size=256, dropout=0.4, MSE=1474.3472
window_size=8, lr=0.0005, hidden_size=128, dropout=0.2, MSE=1498.1930
window_size=8, lr=0.0001, hidden_size=128, dropout=0.4, MSE=1501.3049
window_size=4, lr=0.0005, hidden_size=64, dropout=0.3, MSE=1575.8370
window_size=16, lr=0.0005, hidden_size=64, dropout=0.4, MSE=1635.6115
window_size=4, lr=0.001, hidden_size=64, dropout=0.3, MSE=1645.4037
window_size=4, lr=0.001, hidden_size=64, dropout=0.2, MSE=1658.3617
window_size=8, lr=0.001, hidden_size=128, dropout=0.3, MSE=1677.1225
window_size=4, lr=0.001, hidden_size=64, dropout=0.4, MSE=1683.0791
window_size=4, lr=0.001, hidden_size=128, dropout=0.3, MSE=1745.1348
window_size=8, lr=0.0005, hidden_size=64, dropout=0.3, MSE=1766.6178
window_size=16, lr=0.0005, hidden_size=64, dropout=0.3, MSE=1782.0024
window_size=8, lr=0.0005, hidden_size=64, dropout=0.4, MSE=1787.0288
window_size=4, lr=0.0005, hidden_size=64, dropout=0.4, MSE=1816.1750
window_size=8, lr=0.001, hidden_size=64, dropout=0.2, MSE=1959.3313
window_size=4, lr=0.0005, hidden_size=64, dropout=0.2, MSE=1990.0382
window_size=8, lr=0.001, hidden_size=64, dropout=0.3, MSE=2025.4683
window_size=8, lr=0.0005, hidden_size=256, dropout=0.3, MSE=2114.9380
window_size=16, lr=0.0005, hidden_size=128, dropout=0.2, MSE=2136.0898
window_size=4, lr=0.0005, hidden_size=256, dropout=0.3, MSE=2242.4259
window_size=16, lr=0.0005, hidden_size=64, dropout=0.2, MSE=2242.9402
window_size=4, lr=0.0005, hidden_size=256, dropout=0.4, MSE=2257.2577
window_size=8, lr=0.0005, hidden_size=64, dropout=0.2, MSE=2269.6798
window_size=8, lr=0.001, hidden_size=256, dropout=0.3, MSE=2279.2205
window_size=16, lr=0.001, hidden_size=128, dropout=0.2, MSE=2763.4563
window_size=16, lr=0.0005, hidden_size=128, dropout=0.4, MSE=2778.0782
window_size=4, lr=0.0005, hidden_size=128, dropout=0.2, MSE=2783.5469
window_size=8, lr=0.0005, hidden_size=128, dropout=0.3, MSE=2894.1318
window_size=8, lr=0.001, hidden_size=64, dropout=0.4, MSE=2908.2516
window_size=4, lr=0.0005, hidden_size=256, dropout=0.2, MSE=2948.5171
window_size=4, lr=0.001, hidden_size=256, dropout=0.2, MSE=3408.8534
window_size=4, lr=0.001, hidden_size=128, dropout=0.4, MSE=3466.2114
window_size=16, lr=0.001, hidden_size=256, dropout=0.2, MSE=3716.2484
window_size=16, lr=0.001, hidden_size=64, dropout=0.4, MSE=3861.9554
window_size=4, lr=0.001, hidden_size=256, dropout=0.4, MSE=4115.1289
window_size=16, lr=0.001, hidden_size=128, dropout=0.4, MSE=4130.8940
window_size=16, lr=0.001, hidden_size=256, dropout=0.4, MSE=4374.0169
window_size=16, lr=0.001, hidden_size=64, dropout=0.2, MSE=4452.6436
window_size=16, lr=0.0005, hidden_size=256, dropout=0.2, MSE=4522.7890
window_size=16, lr=0.001, hidden_size=64, dropout=0.3, MSE=4896.8801
window_size=8, lr=0.001, hidden_size=128, dropout=0.2, MSE=5006.1868
window_size=16, lr=0.001, hidden_size=128, dropout=0.3, MSE=5070.6110
window_size=16, lr=0.001, hidden_size=256, dropout=0.3, MSE=5572.0267
window_size=4, lr=0.001, hidden_size=128, dropout=0.2, MSE=6540.5320
window_size=4, lr=0.001, hidden_size=256, dropout=0.3, MSE=8062.4095
