window_size=8, lr=0.001, hidden_size=128, dropout=0.4, MSE=893.0631
window_size=4, lr=0.0005, hidden_size=256, dropout=0.2, MSE=932.9542
window_size=8, lr=0.0005, hidden_size=128, dropout=0.4, MSE=1033.0912
window_size=8, lr=0.0005, hidden_size=128, dropout=0.2, MSE=1085.1898
window_size=8, lr=0.0005, hidden_size=256, dropout=0.3, MSE=1531.1258
window_size=8, lr=0.001, hidden_size=128, dropout=0.2, MSE=1539.8296
window_size=8, lr=0.0005, hidden_size=128, dropout=0.3, MSE=1654.0248
window_size=8, lr=0.0005, hidden_size=256, dropout=0.4, MSE=1905.7670
window_size=4, lr=0.0001, hidden_size=256, dropout=0.3, MSE=2005.1110
window_size=4, lr=0.0001, hidden_size=256, dropout=0.2, MSE=2154.7710
window_size=16, lr=0.0005, hidden_size=128, dropout=0.4, MSE=2313.1784
window_size=4, lr=0.0001, hidden_size=256, dropout=0.4, MSE=2471.9793
window_size=16, lr=0.0005, hidden_size=256, dropout=0.2, MSE=2502.2469
window_size=16, lr=0.0005, hidden_size=256, dropout=0.3, MSE=2768.0578
window_size=4, lr=0.001, hidden_size=128, dropout=0.4, MSE=2902.6021
window_size=16, lr=0.0005, hidden_size=64, dropout=0.3, MSE=2950.4199
window_size=4, lr=0.0005, hidden_size=256, dropout=0.3, MSE=3001.0052
window_size=8, lr=0.001, hidden_size=256, dropout=0.3, MSE=3006.3012
window_size=8, lr=0.0005, hidden_size=256, dropout=0.2, MSE=3386.5731
window_size=16, lr=0.0005, hidden_size=256, dropout=0.4, MSE=3876.9410
window_size=16, lr=0.001, hidden_size=64, dropout=0.3, MSE=4095.7602
window_size=16, lr=0.001, hidden_size=256, dropout=0.2, MSE=4097.4880
window_size=8, lr=0.001, hidden_size=256, dropout=0.2, MSE=4179.8157
window_size=4, lr=0.0001, hidden_size=64, dropout=0.3, MSE=4208.2498
window_size=4, lr=0.001, hidden_size=64, dropout=0.2, MSE=4475.6415
window_size=4, lr=0.0001, hidden_size=128, dropout=0.2, MSE=4492.1080
window_size=8, lr=0.001, hidden_size=128, dropout=0.3, MSE=4516.7805
window_size=4, lr=0.0001, hidden_size=128, dropout=0.4, MSE=4574.9084
window_size=4, lr=0.0001, hidden_size=64, dropout=0.4, MSE=4695.3995
window_size=16, lr=0.001, hidden_size=64, dropout=0.4, MSE=4738.7601
window_size=4, lr=0.0001, hidden_size=128, dropout=0.3, MSE=4871.8747
window_size=4, lr=0.0005, hidden_size=64, dropout=0.2, MSE=4892.2438
window_size=4, lr=0.0001, hidden_size=64, dropout=0.2, MSE=4978.5230
window_size=8, lr=0.001, hidden_size=64, dropout=0.2, MSE=5003.9602
window_size=4, lr=0.0005, hidden_size=256, dropout=0.4, MSE=5346.0115
window_size=16, lr=0.001, hidden_size=64, dropout=0.2, MSE=5355.2507
window_size=8, lr=0.0001, hidden_size=128, dropout=0.3, MSE=5630.4324
window_size=4, lr=0.001, hidden_size=256, dropout=0.2, MSE=5646.8698
window_size=8, lr=0.0005, hidden_size=64, dropout=0.4, MSE=5649.4158
window_size=8, lr=0.0001, hidden_size=128, dropout=0.4, MSE=5935.7010
window_size=4, lr=0.001, hidden_size=128, dropout=0.2, MSE=6111.6693
window_size=8, lr=0.0001, hidden_size=256, dropout=0.3, MSE=6444.3450
window_size=8, lr=0.0001, hidden_size=128, dropout=0.2, MSE=6500.5616
window_size=8, lr=0.0001, hidden_size=256, dropout=0.2, MSE=6603.5894
